,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,extended_entities,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status,user_id,followers_count,friends_count,screen_name,retweeted_status_id
0,2020-09-04 11:22:38+00:00,1301843106699120640,1301843106699120640,@kylegriffin1 By Kyle is a hero who would have been killed by armed Joe Biden supporters just for his race and for… https://t.co/0C6vkZ3INd,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kylegriffin1', 'name': 'Kyle Griffin', 'id': 32871086, 'id_str': '32871086', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/0C6vkZ3INd', 'expanded_url': 'https://twitter.com/i/web/status/1301843106699120640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.301837413778559e+18,1301837413778558977,32871086.0,32871086,kylegriffin1,,,,,,False,0,1,False,False,en,,,,,,355086686,5872,6191,MartyWestin,
1,2020-09-06 04:23:44+00:00,1302462463426715648,1302462463426715648,@TomFitton #BidenFires 🤣,False,"{'hashtags': [{'text': 'BidenFires', 'indices': [11, 22]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TomFitton', 'name': 'Tom Fitton', 'id': 18266688, 'id_str': '18266688', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3024594228123648e+18,1302459422812364800,18266688.0,18266688,TomFitton,,,,,,False,0,0,False,False,und,,,,,,1274301375774461953,3,53,richardgohzenya,
2,2020-09-06 23:51:48+00:00,1302756417758138368,1302756417758138368,"@RealJamesWoods Yup. #BidenRiots
Should we start calling the California fires the #BidenFires? 
I think it fits bec… https://t.co/22p2xWCHZ8",True,"{'hashtags': [{'text': 'BidenRiots', 'indices': [21, 32]}, {'text': 'BidenFires', 'indices': [82, 93]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/22p2xWCHZ8', 'expanded_url': 'https://twitter.com/i/web/status/1302756417758138368', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.302755408692478e+18,1302755408692477956,78523300.0,78523300,RealJamesWoods,,,,,,False,0,1,False,False,en,,,,,,1274301375774461953,3,53,richardgohzenya,
3,2020-09-07 19:27:37+00:00,1303052321543393281,1303052321543393281,@ScottAdamsSays #BidenRiots end with #BidenFires,False,"{'hashtags': [{'text': 'BidenRiots', 'indices': [16, 27]}, {'text': 'BidenFires', 'indices': [37, 48]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ScottAdamsSays', 'name': 'Scott Adams', 'id': 2853461537, 'id_str': '2853461537', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3030513029522964e+18,1303051302952296448,2853461537.0,2853461537,ScottAdamsSays,,,,,,False,0,3,False,False,en,,,,,,3035223381,59,153,TE3187QMW,
4,2020-09-07 20:32:01+00:00,1303068528455671808,1303068528455671808,This has to be arsen! Is Antifa setting fires out in the open now? #BidenFires https://t.co/bUXMxWXYtb,False,"{'hashtags': [{'text': 'BidenFires', 'indices': [67, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1303068525226008578, 'id_str': '1303068525226008578', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EhVt63QWoAIojRO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EhVt63QWoAIojRO.jpg', 'url': 'https://t.co/bUXMxWXYtb', 'display_url': 'pic.twitter.com/bUXMxWXYtb', 'expanded_url': 'https://twitter.com/ColSpringsAnon/status/1303068528455671808/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 430, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 475, 'h': 752, 'resize': 'fit'}, 'medium': {'w': 475, 'h': 752, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,,False,0,0,False,False,en,"{'media': [{'id': 1303068525226008578, 'id_str': '1303068525226008578', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EhVt63QWoAIojRO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EhVt63QWoAIojRO.jpg', 'url': 'https://t.co/bUXMxWXYtb', 'display_url': 'pic.twitter.com/bUXMxWXYtb', 'expanded_url': 'https://twitter.com/ColSpringsAnon/status/1303068528455671808/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 430, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 475, 'h': 752, 'resize': 'fit'}, 'medium': {'w': 475, 'h': 752, 'resize': 'fit'}}}]}",False,,,,1223067049099845632,10580,10436,ColSpringsAnon,
5,2020-09-08 16:49:51+00:00,1303375005476990976,1303375005476990976,@ScottAdamsSays Tired of the #BidenFires in California.,False,"{'hashtags': [{'text': 'BidenFires', 'indices': [29, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ScottAdamsSays', 'name': 'Scott Adams', 'id': 2853461537, 'id_str': '2853461537', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3033323017958523e+18,1303332301795852294,2853461537.0,2853461537,ScottAdamsSays,,,,,,False,0,0,False,False,en,,,,,,270011135,83,657,trixareforlibs,
6,2020-09-08 21:50:49+00:00,1303450745761607683,1303450745761607683,@NyNy45634080 @Kayrile02025449 #bidenfires,False,"{'hashtags': [{'text': 'bidenfires', 'indices': [31, 42]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NyNy45634080', 'name': '╭⇠ N_Y✨✨✨⇠', 'id': 1239182155240144896, 'id_str': '1239182155240144896', 'indices': [0, 13]}, {'screen_name': 'Kayrile02025449', 'name': 'Peggy Sue', 'id': 3951966796, 'id_str': '3951966796', 'indices': [14, 30]}], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3034491219996836e+18,1303449121999683585,1.239182155240145e+18,1239182155240144896,NyNy45634080,,,,,,False,0,0,False,False,und,,,,,,1097183147538739200,1131,1133,usa_mud,
7,2020-09-09 04:31:05+00:00,1303551477370228736,1303551477370228736,@KatieDaviscourt #BidenFires,False,"{'hashtags': [{'text': 'BidenFires', 'indices': [17, 28]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KatieDaviscourt', 'name': 'Katie Daviscourt🇺🇸', 'id': 319901933, 'id_str': '319901933', 'indices': [0, 16]}], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.303551319735595e+18,1303551319735595008,319901933.0,319901933,KatieDaviscourt,,,,,,False,0,1,False,False,und,,,,,,1284866377912856583,22,430,ragecurve,
8,2020-09-09 04:38:36+00:00,1303553366245568513,1303553366245568513,"#BidenFires in CA, and Oregon",False,"{'hashtags': [{'text': 'BidenFires', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,,False,1,3,False,False,en,,,,,,1009642352145829889,56,785,ZimZoomZee,
9,2020-09-09 04:48:50+00:00,1303555945071480832,1303555945071480832,@Chrisp1776 That’s not even filtered! Why isn’t this National News? #BidenFires,False,"{'hashtags': [{'text': 'BidenFires', 'indices': [68, 79]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Chrisp1776', 'name': 'Chris 🇺🇸', 'id': 302266765, 'id_str': '302266765', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3035557710036296e+18,1303555771003629570,302266765.0,302266765,Chrisp1776,,,"{'id': '300bcc6e23a88361', 'url': 'https://api.twitter.com/1.1/geo/id/300bcc6e23a88361.json', 'place_type': 'city', 'name': 'Seattle', 'full_name': 'Seattle, WA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]]}, 'attributes': {}}",,,False,2,6,False,False,en,,,,,,319901933,56600,4119,KatieDaviscourt,
